股票代碼,公司名稱,公司產業,上市櫃,prev_body,avg_volume_5d,foreign_yesterday,foreign_3days,trust_yesterday,trust_3days
8045,達運光電,通信網路業,上市,1.5,137.41,5.0,-44.0,0.0,0.0
8046,南電,電子零組件業,上市,4.0,40320.387200000005,779.56,8402.71,269.0,8309.0
8047,星雲,其他電子業,上櫃,0.3999999999999986,180.42559999999997,-48.0,-31.0,0.0,0.0
8048,德勝,通信網路業,上櫃,1.3000000000000043,1495.4483999999998,-233.0,-1118.0,0.0,0.0
8049,晶采,光電業,上櫃,0.0,187.165,13.0,-12.0,0.0,0.0
8050,廣積,電腦及週邊設備業,上櫃,0.15000000000000568,326.2288,88.0,1.0,0.0,-3.21
8054,安國,半導體業,上櫃,3.5,2262.9328,-65.0,-530.05,0.0,0.0
8059,凱碩,通信網路業,上櫃,0.10000000000000142,731.4073999999999,16.0,-35.0,0.0,0.0
8064,東捷,光電業,上櫃,0.29999999999999716,7406.556200000001,52.98,1319.76,0.0,0.0
8066,來思達,居家生活,上櫃,0.1999999999999993,34.1148,-2.0,-2.0,0.0,0.0
8067,志旭,電子通路業,上櫃,0.05000000000000071,22.971,0.0,0.0,0.0,0.0
8068,全達,電子通路業,上櫃,1.25,1678.7968,115.0,-7.0,0.0,0.0
8069,元太,光電業,上櫃,4.5,5978.0674,3178.78,296.33,-0.44,-856.58
8070,長華*,電子通路業,上市,0.5499999999999972,6394.534799999999,3675.0,5112.0,-439.0,-1310.09
8071,能率網通,電子零組件業,上櫃,0.14999999999999858,773.1042,-239.0,-96.0,0.0,0.0
8072,陞泰,電子通路業,上市,1.2000000000000028,816.0806,-106.0,-362.0,0.0,0.0
8074,鉅橡,電子零組件業,上櫃,9.799999999999997,13023.517800000001,-78.78,666.22,0.0,0.0
8076,伍豐,電腦及週邊設備業,上櫃,0.1999999999999993,511.8196,44.0,24.0,0.0,0.0
8077,洛碁,觀光餐旅,上櫃,0.0,0.9071999999999999,0.0,0.0,0.0,0.0
8080,泰霖,建材營造業,上櫃,1.3500000000000014,588.7054,0.06,1.7,0.0,0.0
8081,致新,半導體業,上市,6.5,560.7458,346.74,496.74,-1.0,-2.7
8083,瑞穎,電機機械,上櫃,2.0,130.89460000000003,37.0,91.0,0.0,0.0
