排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
274,5439,高技,電子零組件業,上櫃,4,183,30
275,4171,瑞基,農業科技業,上櫃,4,7,30
276,7728,光焱科技,其他電子業,上櫃,3,2,27
277,2726,雅茗-KY,觀光餐旅,上櫃,3,1,27
278,4432,銘旺實,紡織纖維,上櫃,4,2,25
279,5481,新華,其他業,上櫃,5,5,24
280,6584,南俊國際,電子零組件業,上櫃,3,22,23
281,3494,誠研,電腦及週邊設備業,上市,3,15,23
282,1419,新紡,紡織纖維,上市,3,28,22
283,4108,懷特,生技醫療業,上市,3,6,22
284,2762,世界健身-KY,運動休閒,上市,5,3,21
285,5533,皇鼎,建材營造業,上市,3,3,20
286,1590,亞德客-KY,電機機械,上市,4,30,19
287,5356,協益,電腦及週邊設備業,上櫃,3,9,18
288,6266,泰詠,電子零組件業,上櫃,4,14,18
289,8476,台境*,綠能環保,上市,4,29,17
290,8411,福貞-KY,其他業,上市,4,3,16
291,3628,盈正,其他電子業,上櫃,4,8,15
292,8024,佑華,半導體業,上櫃,4,4,14
293,8906,花王,其他業,上櫃,3,6,12
294,4942,嘉彰,光電業,上市,4,3,12
295,6922,宸曜,電腦及週邊設備業,上櫃,3,13,12
296,1453,大將,建材營造業,上市,4,1,11
297,4972,湯石照明,光電業,上櫃,3,1,10
298,2239,英利-KY,汽車工業,上市,4,1,10
299,2704,國賓,觀光餐旅,上市,3,2,9
300,4905,台聯電,通信網路業,上櫃,3,6,8
301,5288,豐祥-KY,電機機械,上市,3,7,4
302,8463,潤泰材,其他業,上市,3,10,0
303,8927,北基,油電燃氣業,上櫃,3,11,-3
304,2816,旺旺保,金融保險業,上市,3,31,-3
305,2850,新產,金融保險業,上市,3,40,-3
306,8446,華研,文化創意業,上櫃,3,1,-8
307,2231,為升,汽車工業,上市,3,30,-14
308,5236,凌陽創新,半導體業,上櫃,3,133,-24
309,8091,翔名,半導體業,上櫃,3,61,-32
310,5529,鉅陞,建材營造業,上櫃,3,3,-39
311,1776,展宇,化學工業,上市,3,1,-43
312,8933,愛地雅,運動休閒,上櫃,4,2,-48
313,1532,勤美,電機機械,上市,3,36,-54
314,2923,鼎固-KY,建材營造業,上市,3,3,-56
315,6220,岳豐,電子零組件業,上櫃,3,52,-122
316,2537,聯上發,建材營造業,上市,3,220,-396
317,3694,海華,通信網路業,上市,3,84,-468
318,6742,澤米,光電業,上市,3,99,-645
319,3605,宏致,電子零組件業,上市,3,820,-794
320,5285,界霖,半導體業,上市,3,604,-996
321,3580,友威科,其他電子業,上櫃,3,44,-1136
322,6488,環球晶,半導體業,上櫃,3,1605,-1345
